# Language file for plaintext-parser.php program
# Serbian text
# Version 1.01 - 13-Oct-2008
#
charset|WINDOWS-1250|
langlookup|Monday|Ponedeljak|
langlookup|Tuesday|Utorak|
langlookup|Wednesday|Sreda|
langlookup|Thursday|Èetvrtak|
langlookup|Friday|Petak|
langlookup|Saturday|Subota|
langlookup|Sunday night|Nedelja veèe|
langlookup|Monday night|Ponedeljak veèe|
langlookup|Tuesday night|Utorak veèe|
langlookup|Wednesday night|Sreda veèe|
langlookup|Thursday night|Èetvrtak veèe|
langlookup|Friday night|Petak veèe|
langlookup|Saturday night|Subota veèe|
langlookup|Today|Danas|
langlookup|Tonight|Veèeras|
langlookup|This afternoon|Danas popodne|
langlookup|Rest of tonight|Ostatak noæi|
# UV Index words
langlookup|Low|Nizak|
langlookup|Medium|Umeren|
langlookup|High|Visok|
langlookup|Very&nbsp;High|Veoma&nbsp;Visok|
langlookup|Extreme|Ekstreman|
# Summary conditions lookup
langlookup|Severe storm|Jaka oluja
langlookup|Showers storms|Jaka kiša
langlookup|Thunder storm|Grmljavina
langlookup|Rain Sleet|Kiša susnežica
langlookup|FrzgRn Snow|Ledena kiša/sneg
langlookup|Rain and Snow|Kiša i sneg
langlookup|Freezing Rain|Ledena kiša
langlookup|Rain likely|Kiša
langlookup|Chance rain|Moguæa kiša
langlookup|Mix|Mešano
langlookup|Sleet|Susnežica
langlookup|Snow|Sneg
langlookup|Fog a.m.|Magla prepodne
langlookup|Fog late|Magla kasnije
langlookup|Fog|Magla
langlookup|Very Cold|Veoma hladno
langlookup|Very Hot|Veoma vruæe
langlookup|Partly Cloudy|Delimièno oblaèno
langlookup|Mostly Cloudy|Pretežno oblaèno
langlookup|Cloudy|Oblaèno
langlookup|Overcast|Oblaèno
langlookup|Partly Sunny|Delimièno sunèano
langlookup|Mostly Sunny|Pretežno sunèano
langlookup|Mostly Clear|Pretežno vedro
langlookup|Sunny|Sunèano
langlookup|Clear|Vedro
langlookup|Fair|Vedro
langlookup|Variable Clouds|Promenljiva oblaènost
# translation for cardinal wind directions must be in North-East-South-West order
langlookup|NESW|S,I,J,Z|
langlookup|Wind|Vetar|
# translation for Beaufort Wind Force
langlookup|Calm|tišina|
langlookup|Light air|lahor|
langlookup|Light breeze|povetarac|
langlookup|Gentle breeze|slab vetar|
langlookup|Moderate breeze|umeren vetar|
langlookup|Fresh breeze|jak vetar|
langlookup|Strong breeze|žestok vetar|
langlookup|Near gale|olujni vetar|
langlookup|Gale|oluja|
langlookup|Strong gale|jaka oluja|
langlookup|Storm|žestoka oluja|
langlookup|Violent storm|vihor|
langlookup|Hurricane|orkan|
#
# --- end of language file ------
